# The list of all links between articles.
# FORMAT:   linkSource linkTarget
#
# When publishing on this data set, please cite:
# (1) Robert West and Jure Leskovec:
#     Human Wayfinding in Information Networks.
#     21st International World Wide Web Conference (WWW), 2012.
# (2) Robert West, Joelle Pineau, and Doina Precup:
#     Wikispeedia: An Online Game for Inferring Semantic Distances between Concepts.
#     21st International Joint Conference on Artificial Intelligence (IJCAI), 2009.

Áedán_mac_Gabráin Bede
Áedán_mac_Gabráin Columba
Áedán_mac_Gabráin Dál_Riata
Áedán_mac_Gabráin Great_Britain
Áedán_mac_Gabráin Ireland
Áedán_mac_Gabráin Isle_of_Man
Áedán_mac_Gabráin Monarchy
Áedán_mac_Gabráin Orkney
Áedán_mac_Gabráin Picts
Áedán_mac_Gabráin Scotland
Áedán_mac_Gabráin Wales
